x(m/s),y(m/s),z(m/s),t(s)
0.1987102032,9.818199158,-1.015097857,1.017586978
0.2178629786,9.806227684,-0.9911568761,1.019967603
0.2226511836,9.806227684,-0.9576395154,1.022348228
0.2034983933,9.808623314,-0.9384866953,1.024731145
0.184345603,9.811017036,-0.9360926151,1.027112552
0.1891337931,9.801440239,-0.9384866953,1.029493177
0.2154688835,9.791864395,-0.9480631351,1.031873802
0.2441980839,9.784682274,-0.9911568761,1.034255156
0.2633508742,9.770317078,-1.055797458,1.036636718
0.2825036645,9.775105476,-1.098891377,1.039017291
0.304050535,9.779892921,-1.118044138,1.041397916
0.3208092153,9.7727108,-1.084526777,1.043779322
0.3279915452,9.763134956,-1.022280216,1.046160728
0.3160210252,9.763134956,-0.9887627959,1.048541301
0.3208092153,9.760741234,-0.9552453756,1.050921926
0.3064446151,9.763134956,-0.9073634148,1.053303333
0.2705331445,9.784682274,-0.8882106543,1.055684739
0.251380384,9.799045563,-0.9097574949,1.058065312
0.2346216738,9.803833961,-0.9432749152,1.060445937
0.2154688835,9.818199158,-0.9696099758,1.062827291
0.2058925033,9.830168724,-0.9863687158,1.065207603
0.2034983933,9.839746475,-1.007915616,1.067588228
0.1915279031,9.849322319,-1.031856537,1.069968853
0.2011042982,9.858899117,-1.022280216,1.072350207
0.2298334837,9.863686562,-0.9935510159,1.074732812
0.2465921789,9.870868683,-0.9552453756,1.077113437
0.2609567642,9.854109764,-0.9145457745,1.079494062
0.2753213346,9.834958076,-0.8929988146,1.081875416
0.2801095545,9.84453392,-0.878634274,1.084256822
0.2753213346,9.834958076,-0.8714519143,1.086637447
0.2561685741,9.82059288,-0.8906047344,1.089018072
0.2370157838,9.813410759,-0.9217280149,1.091399426
0.2537744641,9.801440239,-0.9528512955,1.093780832
0.2681390643,9.799045563,-0.9791863561,1.096161405
0.2777154744,9.813410759,-0.9983391762,1.09854203
0.304050535,9.822986603,-1.005521536,1.100923437
0.3255974352,9.801440239,-0.9983391762,1.103304531
0.3423561156,9.782286644,-0.9767923355,1.105685104
0.363902986,9.782286644,-0.9360926151,1.108065729
0.3734793961,9.787075996,-0.9025752544,1.110447083
0.3806616962,9.770317078,-0.8762401342,1.112828489
0.3734793961,9.760741234,-0.8618755341,1.115209114
0.3567207158,9.767923355,-0.8499050736,1.117589739
0.3543266356,9.787075996,-0.8522991538,1.119971093
0.3375679255,9.811017036,-0.878634274,1.1223525
0.3208092153,9.818199158,-0.9193339348,1.124733125
0.3088387549,9.834958076,-0.9552453756,1.12711375
0.2944741547,9.837351799,-0.9743981957,1.129495104
0.2801095545,9.84453392,-0.9983391762,1.13187651
0.2753213346,9.863686562,-1.007915616,1.134257135
0.2896859348,9.870868683,-0.9935510159,1.13663776
0.304050535,9.870868683,-0.9672158957,1.139019114
0.3112328351,9.854109764,-0.9265161753,1.14140052
0.3184151351,9.842140198,-0.9145457745,1.143781145
0.3208092153,9.832564354,-0.916939795,1.146159582
0.3208092153,9.82059288,-0.9097574949,1.148540937
0.3184151351,9.799045563,-0.9097574949,1.150922343
0.3184151351,9.787075996,-0.9336984754,1.153302916
0.3064446151,9.791864395,-0.9408808351,1.155683541
0.2920800745,9.79665184,-0.9360926151,1.158064947
0.2848977447,9.803833961,-0.9408808351,1.160446353
0.2825036645,9.791864395,-0.9432749152,1.162826926
0.2968682647,9.787075996,-0.9504572153,1.165207134
0.2944741547,9.789469719,-0.9504572153,1.167588488
0.3064446151,9.794258118,-0.9384866953,1.169969895
0.3208092153,9.799045563,-0.9241221547,1.17235052
0.3279915452,9.806227684,-0.9217280149,1.174731145
0.3255974352,9.806227684,-0.9265161753,1.177112499
0.313626945,9.808623314,-0.9265161753,1.179493905
0.2896859348,9.813410759,-0.9265161753,1.18187453
0.2465921789,9.830168724,-0.9097574949,1.184255155
0.2202570736,9.856505394,-0.9097574949,1.186636457
0.2130747885,9.861292839,-0.916939795,1.189017863
0.1915279031,9.86847496,-0.9145457745,1.191398332
0.1604046077,9.870868683,-0.916939795,1.193779062
0.1436459273,9.863686562,-0.9336984754,1.196160417
0.1364636272,9.846927643,-0.9480631351,1.198541823
0.1412518322,9.832564354,-0.9384866953,1.200922396
0.1556164175,9.827775002,-0.9025752544,1.203303021
0.1556164175,9.806227684,-0.8714519143,1.205684427
0.1436459273,9.789469719,-0.8522991538,1.208065833
0.1412518322,9.799045563,-0.8379345536,1.210446406
0.1316754371,9.803833961,-0.8259640336,1.212827031
0.1101285368,9.811017036,-0.8187817335,1.215208437
0.1005521491,9.827775002,-0.8475109339,1.217589844
0.0885816589,9.827775002,-0.8977869749,1.219970417
0.06464067101,9.842140198,-0.9384866953,1.222351042
0.06942886859,9.851716042,-0.9624276757,1.224731926
0.08379345387,9.851716042,-0.9887627959,1.227113332
0.0885816589,9.870868683,-0.9959450364,1.229494062
0.1029462516,9.882840157,-0.9672158957,1.231874687
0.1101285368,9.875657082,-0.9360926151,1.234256041
0.1197049394,9.858899117,-0.9097574949,1.236637447
0.1316754371,9.851716042,-0.8738460541,1.239018072
0.129281342,9.84453392,-0.8475109339,1.241398697
0.1173108369,9.832564354,-0.8331463933,1.243780052
0.09336984903,9.839746475,-0.8331463933,1.246161458
0.05745837092,9.851716042,-0.8403286934,1.248542083
0.02394098788,9.856505394,-0.8499050736,1.250922708
-0.009576394223,9.863686562,-0.878634274,1.253304062
-0.04548787326,9.873263359,-0.9097574949,1.255685468
